
2023/10/26 (01:40:29) | ===> btop++ v.1.2.13
2023/10/26 (01:40:29) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/10/26 (01:41:18) | ===> btop++ v.1.2.13
2023/10/26 (01:41:18) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/10/26 (09:49:33) | ===> btop++ v.1.2.13
2023/10/26 (09:49:33) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/10/29 (18:59:12) | ===> btop++ v.1.2.13
2023/10/29 (18:59:12) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/11/09 (00:09:43) | ===> btop++ v.1.2.13
2023/11/09 (00:09:43) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/11/09 (00:09:57) | ===> btop++ v.1.2.13
2023/11/09 (00:09:57) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/11/13 (21:57:58) | ===> btop++ v.1.2.13
2023/11/13 (21:57:58) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/11/14 (20:24:16) | ===> btop++ v.1.2.13
2023/11/14 (20:24:16) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/11/28 (20:56:33) | ===> btop++ v.1.2.13
2023/11/28 (20:56:33) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
